Greece,Lap-2-Place-+1,Lap-3-Place-0
Trinidad&Tobago,Lap-2-Place--1,Lap-3-Place--1
Colombia,Lap-2-Place-0,Lap-3-Place-+1
CzechRepublic,Lap-2-Place--2,Lap-3-Place-+3
Malaysia,Lap-2-Place--2,Lap-3-Place--2
Spain,Lap-2-Place--1,Lap-3-Place-+1
Russia,Lap-2-Place-+4,Lap-3-Place--1
China,Lap-2-Place--1,Lap-3-Place-+1
Ukraine,Lap-2-Place-+1,Lap-3-Place-0
Poland,Lap-2-Place--1,Lap-3-Place--1
Australia,Lap-2-Place--1,Lap-3-Place-+1
Germany,Lap-2-Place-+2,Lap-3-Place-0
GreatBritain,Lap-2-Place-+2,Lap-3-Place-0
Netherlands,Lap-2-Place-0,Lap-3-Place-0
France,Lap-2-Place--1,Lap-3-Place--2
I.R.Iran,Lap-2-Place-+1,Lap-3-Place-+1
HONGKONGPROCYCLING,Lap-2-Place--1,Lap-3-Place-+2
CzechRepublic,Lap-2-Place-+1,Lap-3-Place-+1
Netherlands,Lap-2-Place-+5,Lap-3-Place--1
Malaysia,Lap-2-Place-0,Lap-3-Place-+3
France,Lap-2-Place--3,Lap-3-Place-+2
Poland,Lap-2-Place--2,Lap-3-Place--1
China,Lap-2-Place-+3,Lap-3-Place--1
COFIDIS,Lap-2-Place-+2,Lap-3-Place-+1
Russia,Lap-2-Place--4,Lap-3-Place--1
Germany,Lap-2-Place-+1,Lap-3-Place--2
Japan,Lap-2-Place-+2,Lap-3-Place--1
Ukraine,Lap-2-Place-0,Lap-3-Place-+4
Greece,Lap-2-Place-0,Lap-3-Place-+1
Spain,Lap-2-Place--1,Lap-3-Place--2
Mexico,Lap-2-Place-0,Lap-3-Place-0
Colombia,Lap-2-Place--1,Lap-3-Place-0
Canada,Lap-2-Place-+3,Lap-3-Place-0
Japan,Lap-2-Place--1,Lap-3-Place--3
COFIDIS,Lap-2-Place-0,Lap-3-Place-0
Germany,Lap-2-Place-0,Lap-3-Place-0
Russia,Lap-2-Place-0,Lap-3-Place-0
Trinidad&Tobago,Lap-2-Place-0,Lap-3-Place-+1
CzechRepublic,Lap-2-Place-+2,Lap-3-Place--1
Russia,Lap-2-Place-0,Lap-3-Place-+1
Colombia,Lap-2-Place--4,Lap-3-Place--4
CATALUNYA,Lap-2-Place-+1,Lap-3-Place-+1
Ukraine,Lap-2-Place--5,Lap-3-Place-+1
Spain,Lap-2-Place-+2,Lap-3-Place-0
Germany,Lap-2-Place-0,Lap-3-Place-0
Poland,Lap-2-Place-0,Lap-3-Place--1
COFIDIS,Lap-2-Place-0,Lap-3-Place-+1
GreatBritain,Lap-2-Place-+2,Lap-3-Place-+1
USCRETEIL,Lap-2-Place-0,Lap-3-Place-0
France,Lap-2-Place-+2,Lap-3-Place-0
ALKSSTALGRUDZIADUZ,Lap-2-Place-+3,Lap-3-Place-+3
CATALUNYA,Lap-2-Place--1,Lap-3-Place--3
Greece,Lap-2-Place-+2,Lap-3-Place-0
MOSCOWTRACKTEAM,Lap-2-Place-+1,Lap-3-Place-0
TEAMJAYCO,Lap-2-Place-+2,Lap-3-Place-0
CzechRepublic,Lap-2-Place-0,Lap-3-Place--1
USCRETEIL,Lap-2-Place-+6,Lap-3-Place--1
China,Lap-2-Place-+1,Lap-3-Place-+2
Ukraine,Lap-2-Place-+4,Lap-3-Place-+1
Russia,Lap-2-Place--11,Lap-3-Place-+2
Netherlands,Lap-2-Place-+1,Lap-3-Place-+1
Japan,Lap-2-Place-0,Lap-3-Place--2
Poland,Lap-2-Place--4,Lap-3-Place--1
Malaysia,Lap-2-Place-+1,Lap-3-Place--1
GreatBritain,Lap-2-Place--5,Lap-3-Place--1
COFIDIS,Lap-2-Place--2,Lap-3-Place-0
Germany,Lap-2-Place-+2,Lap-3-Place-+1
"Nov21,",Lap-2-Place--1,Lap-3-Place--1
Korea,Lap-2-Place-0,Lap-3-Place-+1
GRACEINSTITUTE,Lap-2-Place-0,Lap-3-Place--1
Malaysia,Lap-2-Place--1,Lap-3-Place-+1
NewZealand,Lap-2-Place-+1,Lap-3-Place-+1
Netherlands,Lap-2-Place-0,Lap-3-Place--2
COFIDIS,Lap-2-Place-+2,Lap-3-Place-+1
Australia,Lap-2-Place-0,Lap-3-Place-0
Russia,Lap-2-Place-0,Lap-3-Place-+1
TEAMJAYCO,Lap-2-Place-0,Lap-3-Place--1
"Nov21,",Lap-2-Place--1,Lap-3-Place-0
Spain,Lap-2-Place-0,Lap-3-Place--2
Italy,Lap-2-Place-0,Lap-3-Place-0
CzechRepublic,Lap-2-Place-+1,Lap-3-Place-+2
Ukraine,Lap-2-Place--1,Lap-3-Place-+1
Greece,Lap-2-Place-0,Lap-3-Place--1
Japan,Lap-2-Place--1,Lap-3-Place-+1
China,Lap-2-Place-+1,Lap-3-Place-+1
Canada,Lap-2-Place-+1,Lap-3-Place--1
Netherlands,Lap-2-Place-0,Lap-3-Place--1
Poland,Lap-2-Place--1,Lap-3-Place-0
Russia,Lap-2-Place-0,Lap-3-Place--2
NewZealand,Lap-2-Place-+1,Lap-3-Place-+3
GreatBritain,Lap-2-Place-0,Lap-3-Place-0
Australia,Lap-2-Place--1,Lap-3-Place--1
France,Lap-2-Place-+1,Lap-3-Place-0
Germany,Lap-2-Place--1,Lap-3-Place-0
Netherlands,Lap-2-Place-+2,Lap-3-Place--3
China,Lap-2-Place-+1,Lap-3-Place-0
Italy,Lap-2-Place-0,Lap-3-Place-0
Malaysia,Lap-2-Place-+1,Lap-3-Place-+1
CzechRepublic,Lap-2-Place-0,Lap-3-Place-+3
MAXSUCCESSPROCYCLING,Lap-2-Place--1,Lap-3-Place--3
Spain,Lap-2-Place--2,Lap-3-Place--1
Japan,Lap-2-Place--4,Lap-3-Place--1
France,Lap-2-Place-+5,Lap-3-Place-+1
Ukraine,Lap-2-Place-0,Lap-3-Place--1
Germany,Lap-2-Place-+1,Lap-3-Place-0
Australia,Lap-2-Place-0,Lap-3-Place-+4
Russia,Lap-2-Place--11,Lap-3-Place-+1
Canada,Lap-2-Place-+3,Lap-3-Place--1
Poland,Lap-2-Place-+2,Lap-3-Place-+1
TEAMJAYCO,Lap-2-Place--1,Lap-3-Place-0
NewZealand,Lap-2-Place-+3,Lap-3-Place-+2
MOSCOWTRACKTEAM,Lap-2-Place-0,Lap-3-Place-+1
COFIDIS,Lap-2-Place-+1,Lap-3-Place--4
Mexico,Lap-2-Place-+1,Lap-3-Place-0
Argentina,Lap-2-Place--1,Lap-3-Place-0
CYCLOCHANNELTOKYO,Lap-2-Place-+5,Lap-3-Place-+4
Spain,Lap-2-Place-0,Lap-3-Place-+1
CzechRepublic,Lap-2-Place--1,Lap-3-Place-+2
YSDTRACKTEAM,Lap-2-Place-0,Lap-3-Place-+5
Japan,Lap-2-Place-+1,Lap-3-Place--5
UnitedStates,Lap-2-Place--1,Lap-3-Place--6
Poland,Lap-2-Place-0,Lap-3-Place-0
Colombia,Lap-2-Place-0,Lap-3-Place-0
Russia,Lap-2-Place-0,Lap-3-Place--2
Canada,Lap-2-Place-0,Lap-3-Place-+1
NewZealand,Lap-2-Place-0,Lap-3-Place-0
France,Lap-2-Place-0,Lap-3-Place-0
GreatBritain,Lap-2-Place-0,Lap-3-Place-0
Germany,Lap-2-Place-0,Lap-3-Place-0
Greece,Lap-2-Place-+1,Lap-3-Place--1
China,Lap-2-Place--2,Lap-3-Place-+2
Canada,Lap-2-Place--1,Lap-3-Place-0
Australia,Lap-2-Place-+1,Lap-3-Place-+2
MOSCOWTRACKTEAM,Lap-2-Place-+2,Lap-3-Place--3
YSDTRACKTEAM,Lap-2-Place-+2,Lap-3-Place-0
Japan,Lap-2-Place-+1,Lap-3-Place-+2
TEAMERDGAS.2012,Lap-2-Place--2,Lap-3-Place--1
NewZealand,Lap-2-Place-0,Lap-3-Place-+3
Italy,Lap-2-Place-0,Lap-3-Place-0
TEAMJAYCOAIS,Lap-2-Place-0,Lap-3-Place--1
Ukraine,Lap-2-Place--1,Lap-3-Place-+1
Spain,Lap-2-Place-0,Lap-3-Place-0
Russia,Lap-2-Place--2,Lap-3-Place-0
CzechRepublic,Lap-2-Place-+1,Lap-3-Place-0
GreatBritain,Lap-2-Place-0,Lap-3-Place-0
Poland,Lap-2-Place--2,Lap-3-Place--1
Germany,Lap-2-Place-0,Lap-3-Place--1
Netherlands,Lap-2-Place-+2,Lap-3-Place--2
