Event,Cause,Effect,Frequency,Support,Conf_Num,Conf_Dem,Conf
menkilo,"('Lap-2-Place-0',)","('Lap-3-Place-0',)",38,0.13240418118466898,38,89,0.42696629213483145
menIP,"('Lap-7-Place-0',)","('Lap-12-Place-0',)",114,0.5158371040723982,114,142,0.8028169014084507
menIP,"('Lap-7-Place-0',)","('Lap-14-Place-0',)",114,0.5158371040723982,114,142,0.8028169014084507
menIP,"('Lap-11-Place-0',)","('Lap-14-Place-0',)",124,0.5610859728506787,124,154,0.8051948051948052
menIP,"('Lap-12-Place-0', 'Lap-8-Place-0')","('Lap-13-Place-0',)",91,0.4117647058823529,91,113,0.8053097345132744
menIP,"('Lap-11-Place-0', 'Lap-12-Place-0')","('Lap-13-Place-0',)",97,0.43891402714932126,97,118,0.8220338983050848
menIP,"('Lap-12-Place-0', 'Lap-7-Place-0')","('Lap-14-Place-0',)",92,0.416289592760181,92,114,0.8070175438596491
menIP,"('Lap-10-Place-0', 'Lap-15-Place-0')","('Lap-14-Place-0',)",93,0.42081447963800905,93,116,0.8017241379310345
menIP,"('Lap-12-Place-0', 'Lap-16-Place-0')","('Lap-13-Place-0',)",96,0.4343891402714932,96,117,0.8205128205128205
menIP,"('Lap-11-Place-0', 'Lap-13-Place-0')","('Lap-14-Place-0',)",95,0.4298642533936652,95,118,0.8050847457627118
menIP,"('Lap-10-Place-0', 'Lap-8-Place-0')","('Lap-12-Place-0',)",91,0.4117647058823529,91,113,0.8053097345132744
menIP,"('Lap-11-Place-0', 'Lap-12-Place-0')","('Lap-14-Place-0',)",95,0.4298642533936652,95,118,0.8050847457627118
menTP,"('Lap-10-Place-0',)","('Lap-13-Place-0',)",88,0.5866666666666667,88,109,0.8073394495412844
menTP,"('Lap-6-Place-0',)","('Lap-9-Place-0',)",86,0.5733333333333334,86,103,0.8349514563106796
menTP,"('Lap-7-Place-0',)","('Lap-8-Place-0',)",84,0.56,84,104,0.8076923076923077
menTP,"('Lap-7-Place-0',)","('Lap-13-Place-0',)",85,0.5666666666666667,85,104,0.8173076923076923
menTP,"('Lap-7-Place-0',)","('Lap-11-Place-0',)",84,0.56,84,104,0.8076923076923077
menTP,"('Lap-8-Place-0',)","('Lap-9-Place-0',)",89,0.5933333333333334,89,111,0.8018018018018018
menTP,"('Lap-13-Place-0',)","('Lap-15-Place-0',)",95,0.6333333333333333,95,117,0.811965811965812
menTP,"('Lap-7-Place-0',)","('Lap-9-Place-0',)",84,0.56,84,104,0.8076923076923077
menTP,"('Lap-14-Place-0',)","('Lap-15-Place-0',)",89,0.5933333333333334,89,102,0.8725490196078431
menTP,"('Lap-11-Place-0',)","('Lap-13-Place-0',)",91,0.6066666666666667,91,113,0.8053097345132744
menTP,"('Lap-10-Place-0',)","('Lap-11-Place-0',)",88,0.5866666666666667,88,109,0.8073394495412844
menTP,"('Lap-13-Place-0',)","('Lap-9-Place-0',)",96,0.64,96,117,0.8205128205128205
menTP,"('Lap-9-Place-0',)","('Lap-13-Place-0',)",96,0.64,96,117,0.8205128205128205
menTP,"('Lap-12-Place-0',)","('Lap-13-Place-0',)",88,0.5866666666666667,88,107,0.822429906542056
menTP,"('Lap-13-Place-0', 'Lap-9-Place-0')","('Lap-15-Place-0',)",77,0.5133333333333333,77,96,0.8020833333333334
menTS,"('Lap-2-Place-0',)","('Lap-3-Place-0',)",44,0.14864864864864866,44,91,0.4835164835164835
womenIP,"('Lap-7-Place-0',)","('Lap-11-Place-0',)",100,0.4048582995951417,100,130,0.7692307692307693
womenIP,"('Lap-4-Place-0',)","('Lap-9-Place-0',)",101,0.4089068825910931,101,124,0.8145161290322581
womenIP,"('Lap-8-Place-0',)","('Lap-11-Place-0',)",115,0.46558704453441296,115,155,0.7419354838709677
womenIP,"('Lap-9-Place-0',)","('Lap-11-Place-0',)",135,0.5465587044534413,135,181,0.7458563535911602
womenIP,"('Lap-10-Place-0',)","('Lap-11-Place-0',)",131,0.5303643724696356,131,169,0.7751479289940828
womenIP,"('Lap-8-Place-0',)","('Lap-9-Place-0',)",121,0.4898785425101215,121,155,0.7806451612903226
womenIP,"('Lap-8-Place-0',)","('Lap-12-Place-0',)",109,0.44129554655870445,109,155,0.7032258064516129
womenIP,"('Lap-5-Place-0',)","('Lap-9-Place-0',)",102,0.41295546558704455,102,129,0.7906976744186046
womenIP,"('Lap-6-Place-0',)","('Lap-10-Place-0',)",103,0.41700404858299595,103,132,0.7803030303030303
