@relation WomenIPPlaces
@attribute name string
@attribute Lap1 numeric
@attribute Lap2 numeric
@attribute Lap3 numeric
@attribute Lap4 numeric
@attribute Lap5 numeric
@attribute Lap6 numeric
@attribute Lap7 numeric
@attribute Lap8 numeric
@attribute Lap9 numeric
@attribute Lap10 numeric
@attribute Lap11 numeric
@attribute Lap12 numeric
@data
NontasinCHANPENG,21,21,21,21,21,21,21,21,21,21,21,21
OlgaSLYUSAREVA,9,13,13,15,16,18,18,18,18,18,18,17
DalilaRODRIGUEZ HERNANDEZ,16,17,17,14,12,11,10,13,14,14,16,16
LeireOLABERRIA DORRONSORO,20,20,20,20,20,17,16,12,11,10,9,9
AusrineTREBAITE,4,3,5,8,9,10,11,15,15,15,15,15
GemaPASCUAL TORRECILLA,14,14,15,18,19,20,20,20,20,20,20,20
LadaKOZLIKOVA,6,6,7,7,7,7,9,9,9,9,12,14
JolienD'HOORE,7,11,11,13,15,16,17,17,17,16,14,13
SvitlanaGALYUK,18,18,14,11,10,9,8,8,8,8,8,8
TatsianaSHARAKOVA,5,5,9,9,11,12,15,16,16,17,17,18
JosephineTOMIC,13,9,4,4,4,4,4,5,5,5,5,5
CharlotteBECKER,17,16,18,16,14,14,14,14,13,13,13,11
JoannaROWSELL,3,4,3,5,5,5,5,4,4,4,4,4
TaraWHITTEN,8,12,12,10,8,8,7,7,7,7,7,7
VerenaJOOS,2,7,10,12,13,13,12,11,12,12,11,10
VilijaSEREIKAITE,1,1,1,1,1,2,2,3,3,3,3,3
EleonoraVAN DIJK,10,8,6,6,6,6,6,6,6,6,6,6
LuisaCALLE WILLIAMS Maria,19,19,19,19,17,15,13,10,10,11,10,12
WendyHOUVENAGHEL,11,2,2,2,2,1,1,1,1,1,1,1
AlisonSHANKS,12,9,8,3,3,3,3,2,2,2,2,2
EdytaJASINSKA,15,15,16,17,18,19,19,19,19,19,19,19
MartinaRUZICKOVA,6,5,5,6,7,8,9,10,11,11,11,11
DalilaRODRIGUEZ HERNANDEZ,11,11,10,10,10,9,8,8,8,7,7,7
CuiWANG,10,10,11,11,11,11,11,11,10,9,9,9
AmyPIETERS,13,13,13,13,13,13,13,13,13,13,13,13
ChanpengNONTASIN,5,7,9,9,8,7,7,6,6,6,6,6
KimberlyGEIST,8,9,8,8,9,10,10,9,9,10,10,10
EdytaJASINSKA,12,12,12,12,12,12,12,12,12,12,12,12
GemaPASCUAL TORRECILLA,3,4,4,4,5,5,5,5,5,5,5,4
ElenaCHALYKH,4,2,2,2,2,1,1,1,1,1,1,1
AlisonSHANKS,1,1,1,1,1,2,2,2,2,2,2,2
VilijaSEREIKAITE,9,8,7,5,4,4,3,3,3,3,3,3
SvitlanaGALYUK,7,6,6,7,6,6,6,7,7,8,8,8
CharlotteBECKER,2,3,3,3,3,3,4,4,4,4,4,5
TessDOWNING,10,8,8,9,9,9,9,9,9,10,10,10
LuisaCALLE WILLIAMS Maria,9,6,5,4,4,4,3,3,3,3,3,3
TatsianaSHARAKOVA,3,5,6,6,6,6,6,6,6,6,7,7
SineadJENNINGS,11,11,11,11,11,11,11,11,11,11,11,11
ElizavetaBOCHKAROVA,8,10,10,10,10,10,10,10,10,9,9,9
SarahHAMMER,4,2,1,1,1,1,1,1,1,1,1,1
CharlotteBECKER,5,4,4,5,5,5,5,5,5,5,5,5
VilijaSEREIKAITE,1,1,2,2,3,3,4,4,4,4,4,4
DalilaRODRIGUEZ HERNANDEZ,7,7,7,7,7,7,8,8,8,8,8,8
ElissavetCHANTZI,6,9,9,8,8,8,7,7,7,7,6,6
TaraWHITTEN,2,3,3,3,2,2,2,2,2,2,2,2
TatsianaSHARAKOVA,1,3,8,10,11,11,12,12,10,9,9,9
JolienD'HOORE,6,6,9,9,10,10,11,8,8,8,8,8
TaraWHITTEN,2,4,3,1,1,1,1,1,1,1,2,2
DalilaRODRIGUEZ HERNANDEZ,13,11,11,8,6,5,5,5,5,5,5,5
MartinaRUZICKOVA,5,1,1,3,7,8,9,11,12,14,14,14
GemaPASCUAL TORRECILLA,15,15,15,15,15,15,15,15,15,15,15,15
FionaDUTRIAUX,11,12,13,13,14,14,14,14,14,13,12,10
LeireOLABERRIA DORRONSORO,14,14,14,14,13,12,8,7,7,6,6,6
VerenaJOOS,3,2,2,2,2,3,3,3,3,3,3,3
ElissavetCHANTZI,12,13,12,12,12,13,13,13,13,11,11,11
JoannaROWSELL,8,8,6,6,4,4,4,4,4,4,4,4
LauraDORIA,4,5,5,7,8,9,10,10,11,12,13,13
EleonoraVAN DIJK,10,10,7,5,3,2,2,2,2,2,1,1
EdytaJASINSKA,9,7,4,4,5,6,7,9,9,10,10,12
KimberlyGEIST,7,9,10,11,9,7,6,6,6,7,7,7
NontasinCHANPENG,16,16,16,16,16,16,16,16,16,16,16,16
AnaUSABIAGA BALERDI,15,15,15,15,15,15,15,15,15,15,16,16
JessieDAAMS,13,13,13,13,13,13,13,13,13,13,13,13
EdytaJASINSKA,4,5,5,5,5,6,7,8,8,9,10,10
VictoriaKONDEL,8,8,7,7,8,8,9,10,10,10,9,9
LotteVAN HOEK,14,14,14,14,14,14,14,14,14,14,14,14
OlatzFERRAN ZUBILAGA,16,16,16,16,16,16,16,16,16,16,15,15
FionaDUTRIAUX,10,9,8,9,9,11,11,11,12,12,12,12
JamieWONG Wan Yiu,6,7,10,10,10,9,10,9,9,8,8,8
ElissavetCHANTZI,1,1,1,3,3,3,2,2,2,2,3,6
VerenaJOOS,2,3,4,4,4,4,5,6,6,7,7,7
AusrineTREBAITE,9,6,6,6,7,7,6,5,5,5,5,3
VeraKOEDOODER,11,12,12,11,11,10,8,7,7,6,6,4
LeireOLABERRIA DORRONSORO,12,11,9,8,6,5,4,4,4,3,2,2
JosephineTOMIC,3,2,2,2,2,2,3,3,3,4,4,5
LadaKOZLIKOVA,5,4,3,1,1,1,1,1,1,1,1,1
WendyHOUVENAGHEL,7,10,11,12,12,12,12,12,11,11,11,11
"21,Nov",14,14,15,15,15,15,15,15,15,15,15,15
AdrianaMARTINEZ,5,7,8,8,8,8,8,8,8,8,10,11
HelenKELLY,12,11,12,12,12,11,11,11,11,10,9,8
"21,Nov",13,13,13,13,13,12,12,12,12,12,12,13
PascaleSCHNIDER,9,4,3,2,5,5,5,5,6,6,6,7
HyeLEE Min,3,8,9,9,10,10,10,10,10,11,11,10
"21,Nov",8,5,7,5,3,3,3,3,3,3,3,3
MadeleineSANDIG,4,3,5,7,7,7,9,9,9,9,8,9
KimberlyGEIST,6,6,4,3,4,4,4,4,4,4,4,5
"21,Nov",15,15,14,14,14,14,14,14,14,14,14,14
JolienD'HOORE,2,2,1,1,1,1,1,1,1,1,1,2
"21,Nov",11,12,11,10,9,9,6,6,5,5,5,4
EleonoraVAN DIJK,7,10,10,11,11,13,13,13,13,13,13,12
JamieWONG Wan Yiu,10,9,6,4,2,2,2,2,2,2,2,1
"21,Nov",1,1,2,6,6,6,7,7,7,7,7,6
