NontasinCHANPENG,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
OlgaSLYUSAREVA,Lap-2-Place--4,Lap-3-Place-0,Lap-4-Place--2,Lap-5-Place--1,Lap-6-Place--2,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+1
DalilaRODRIGUEZ HERNANDEZ,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-+3,Lap-5-Place-+2,Lap-6-Place-+1,Lap-7-Place-+1,Lap-8-Place--3,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place--2,Lap-12-Place-0
LeireOLABERRIA DORRONSORO,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-+3,Lap-7-Place-+1,Lap-8-Place-+4,Lap-9-Place-+1,Lap-10-Place-+1,Lap-11-Place-+1,Lap-12-Place-0
AusrineTREBAITE,Lap-2-Place-+1,Lap-3-Place--2,Lap-4-Place--3,Lap-5-Place--1,Lap-6-Place--1,Lap-7-Place--1,Lap-8-Place--4,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
GemaPASCUAL TORRECILLA,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place--3,Lap-5-Place--1,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
LadaKOZLIKOVA,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place--2,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place--3,Lap-12-Place--2
JolienD'HOORE,Lap-2-Place--4,Lap-3-Place-0,Lap-4-Place--2,Lap-5-Place--2,Lap-6-Place--1,Lap-7-Place--1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-+1,Lap-11-Place-+2,Lap-12-Place-+1
SvitlanaGALYUK,Lap-2-Place-0,Lap-3-Place-+4,Lap-4-Place-+3,Lap-5-Place-+1,Lap-6-Place-+1,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
TatsianaSHARAKOVA,Lap-2-Place-0,Lap-3-Place--4,Lap-4-Place-0,Lap-5-Place--2,Lap-6-Place--1,Lap-7-Place--3,Lap-8-Place--1,Lap-9-Place-0,Lap-10-Place--1,Lap-11-Place-0,Lap-12-Place--1
JosephineTOMIC,Lap-2-Place-+4,Lap-3-Place-+5,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place--1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
CharlotteBECKER,Lap-2-Place-+1,Lap-3-Place--2,Lap-4-Place-+2,Lap-5-Place-+2,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+2
JoannaROWSELL,Lap-2-Place--1,Lap-3-Place-+1,Lap-4-Place--2,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-+1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
TaraWHITTEN,Lap-2-Place--4,Lap-3-Place-0,Lap-4-Place-+2,Lap-5-Place-+2,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
VerenaJOOS,Lap-2-Place--5,Lap-3-Place--3,Lap-4-Place--2,Lap-5-Place--1,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-+1,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place-+1,Lap-12-Place-+1
VilijaSEREIKAITE,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place--1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
