ITALY,Lap-2-Place--6,Lap-3-Place--1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
HONGKONG,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
BELARUS,Lap-2-Place-+2,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place--1,Lap-11-Place-0,Lap-12-Place--1
POLAND,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place--1,Lap-7-Place--1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
RUSSIA,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-+3,Lap-5-Place--1,Lap-6-Place--1,Lap-7-Place--2,Lap-8-Place--1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place--2
CHINA,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-+1,Lap-5-Place-0,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place-+1,Lap-9-Place-0,Lap-10-Place-+1,Lap-11-Place-0,Lap-12-Place-+1
LITHUANIA,Lap-2-Place-0,Lap-3-Place--3,Lap-4-Place--5,Lap-5-Place--1,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place--1,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
BELGIUM,Lap-2-Place--3,Lap-3-Place-0,Lap-4-Place--1,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+2
UKRAINE,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place--1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place-+1,Lap-11-Place--1,Lap-12-Place-0
GERMANY,Lap-2-Place-+4,Lap-3-Place-+1,Lap-4-Place-+1,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-+2,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place--1
CANADA,Lap-2-Place-+3,Lap-3-Place--1,Lap-4-Place-0,Lap-5-Place-+1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-+1,Lap-9-Place-+1,Lap-10-Place--1,Lap-11-Place-+1,Lap-12-Place-+1
NETHERLANDS,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place--1,Lap-11-Place-0,Lap-12-Place-0
UNITEDSTATES,Lap-2-Place-+2,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-+1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place-+1,Lap-12-Place-0
NEWZEALAND,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place-0
GREATBRITAIN,Lap-2-Place--1,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0
AUSTRALIA,Lap-2-Place--2,Lap-3-Place--1,Lap-4-Place-+1,Lap-5-Place-+1,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-+1,Lap-11-Place-0,Lap-12-Place-0
Japan,Lap-2-Place--5,Lap-3-Place--2,Lap-4-Place--2,Lap-5-Place-+1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+1
Korea,Lap-2-Place-0,Lap-3-Place--2,Lap-4-Place--1,Lap-5-Place-+1,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place--1,Lap-11-Place-+1,Lap-12-Place-0
China,Lap-2-Place-+1,Lap-3-Place-+2,Lap-4-Place-0,Lap-5-Place-+3,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-+3,Lap-11-Place-0,Lap-12-Place-0
Australia,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place--1
