Australia,Lap-2-Place-0
HongKong,Lap-2-Place-0
Lithuania,Lap-2-Place-+3
Russia,Lap-2-Place-+1
Poland,Lap-2-Place--1
Netherlands,Lap-2-Place--3
China,Lap-2-Place--3
Germany,Lap-2-Place-0
GreatBritain,Lap-2-Place-+3
France,Lap-2-Place-0
MAXSUCCESSPROCYCLING(MSP)DistanceTimeRankLap,Lap-2-Place--1
HongKong,Lap-2-Place-+1
China,Lap-2-Place--1
Russia,Lap-2-Place--2
Thailand,Lap-2-Place-0
Netherlands,Lap-2-Place-0
Lithuania,Lap-2-Place-+3
Poland,Lap-2-Place-+1
France,Lap-2-Place--1
Colombia,Lap-2-Place-+1
Cuba,Lap-2-Place-0
Greece,Lap-2-Place--1
Mexico,Lap-2-Place-0
Netherlands,Lap-2-Place-0
Lithuania,Lap-2-Place-0
Russia,Lap-2-Place-0
CALAPIEREYNODENAVARRA,Lap-2-Place-0
TEAMTOSHIBA,Lap-2-Place-0
China,Lap-2-Place-+2
HongKong,Lap-2-Place-0
GreatBritain,Lap-2-Place-0
Thailand,Lap-2-Place-0
Germany,Lap-2-Place-0
Poland,Lap-2-Place--2
Greece,Lap-2-Place-0
CATALUNYA,Lap-2-Place-+1
HongKong,Lap-2-Place--5
Mexico,Lap-2-Place--1
France,Lap-2-Place-+2
Poland,Lap-2-Place--1
Lithuania,Lap-2-Place--1
Russia,Lap-2-Place-+3
GreatBritain,Lap-2-Place-+2
Germany,Lap-2-Place-0
Australia,Lap-2-Place-0
Netherlands,Lap-2-Place-0
"Nov21,",Lap-2-Place-+1
Korea,Lap-2-Place-0
Greece,Lap-2-Place-+1
China,Lap-2-Place-0
Mexico,Lap-2-Place--1
Netherlands,Lap-2-Place-0
France,Lap-2-Place-0
Australia,Lap-2-Place--1
Germany,Lap-2-Place--1
Thailand,Lap-2-Place-0
HongKong,Lap-2-Place--1
Poland,Lap-2-Place-+1
France,Lap-2-Place--1
Greece,Lap-2-Place-0
China,Lap-2-Place-0
Russia,Lap-2-Place-0
GreatBritain,Lap-2-Place-+2
Lithuania,Lap-2-Place-+4
Australia,Lap-2-Place-0
Netherlands,Lap-2-Place--4
SouthAfrica,Lap-2-Place-0
MAXSUCCESSPROCYCLING,Lap-2-Place-+4
GIANTPROCYCLING,Lap-2-Place-+2
Ukraine,Lap-2-Place-0
Mexico,Lap-2-Place-0
Germany,Lap-2-Place-0
HongKong,Lap-2-Place--4
China,Lap-2-Place-0
Russia,Lap-2-Place-0
France,Lap-2-Place--1
Netherlands,Lap-2-Place-0
Australia,Lap-2-Place--1
Venezuela,Lap-2-Place-0
REYNODENAVARRATELCOCONO,Lap-2-Place-0
Ukraine,Lap-2-Place-+3
Mexico,Lap-2-Place--1
Colombia,Lap-2-Place-+2
Spain,Lap-2-Place-+1
Cuba,Lap-2-Place--5
Russia,Lap-2-Place--1
HongKong,Lap-2-Place-+1
GreatBritain,Lap-2-Place-+1
France,Lap-2-Place--2
China,Lap-2-Place-0
Germany,Lap-2-Place-+1
NewZealand,Lap-2-Place--1
TREADS.COM/DFTCYCLINGTEAM,Lap-2-Place-0
Germany,Lap-2-Place-+1
